"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KIAA0528",-0.347605102040809,10.2061066326531,-6.06014467159602,6.8263812450818e-09,1.82898081426674e-08,9.07534326038713
"PPP2R2C",1.03357857142857,3.35906581632653,6.05995165470158,6.833284642546e-09,1.83058560101797e-08,9.07435465945279
"ARAF",-0.310682653061226,6.96853316326531,-6.05939324825059,6.85329502578266e-09,1.83570075212601e-08,9.07149471438923
"CDK6",0.482479591836737,7.56022755102041,6.05689000333036,6.94370623296019e-09,1.85966934445042e-08,9.05867626487549
"SLC30A2",0.570398979591838,2.81856479591837,6.05554316982681,6.99283315207006e-09,1.87257621354658e-08,9.05178099023451
"LILRA1",-0.170317346938776,2.38072091836735,-6.05385757912384,7.05479659099544e-09,1.88891660127521e-08,9.04315288729186
"SGMS2",-0.547095918367348,7.77080918367347,-6.05378580735824,7.05744687643601e-09,1.8893736907075e-08,9.04278554269889
"C5orf25",0.297373469387759,7.02964387755102,6.05173581228565,7.13355942738582e-09,1.90949486917184e-08,9.03229445057913
"HERC2P4 /// LOC100422737 /// SHISA9 /// SLC9A4",-0.362408163265305,5.97343163265306,-6.05166959014106,7.13603149744154e-09,1.90990138928853e-08,9.03195559151314
"VTA1",-0.278228571428574,8.56119387755102,-6.0451375269248,7.38404305693927e-09,1.97601569008368e-08,8.99854347846278
"LMNB1",0.553951020408163,7.23962448979592,6.04187709282229,7.51097662703912e-09,2.00971543701716e-08,8.98187531085547
"STRN4",0.258475510204079,6.07500408163265,6.04085786648274,7.55109345539925e-09,2.02017969006428e-08,8.97666603234575
"ARHGAP30",-0.452154081632653,3.89398520408163,-6.04071248317562,7.55683283520703e-09,2.02144521548541e-08,8.97592302558923
"NUS1 /// NUS1P3",0.359007142857144,4.14359642857143,6.04049152310451,7.56556398740868e-09,2.02351059225311e-08,8.97479379408753
"CC2D1A",-0.335396938775511,5.83814234693878,-6.03750917762054,7.68438167205178e-09,2.05501559252721e-08,8.9595550874696
"METTL2A",0.306511224489796,6.35934132653061,6.03545136611606,7.76742956936735e-09,2.07694763164891e-08,8.94904342677772
"C5orf36",0.280719387755102,2.95764234693878,6.03507801482693,7.78259100909788e-09,2.0807239514915e-08,8.94713654681958
"C4orf29",-0.306164285714285,3.93441887755102,-6.03345668112933,7.8487688617034e-09,2.09813699768487e-08,8.93885657562272
"FILIP1",-0.413941836734695,3.33882704081633,-6.03336479228633,7.85253594491605e-09,2.09886394375588e-08,8.93838735524767
"C3orf63",0.268300000000001,8.00536632653061,6.03287341129245,7.87271072737147e-09,2.10397564036063e-08,8.93587825498073
"GAS8",0.273136734693876,4.20287448979592,6.03277517275835,7.87675022420413e-09,2.10477440631561e-08,8.93537664408582
"LRRC8B",0.397312244897963,6.85274693877551,6.03207896659909,7.9054359592058e-09,2.11215788971419e-08,8.93182194118789
"ULK4",0.232158163265306,2.83882602040816,6.03072981152549,7.9613167443047e-09,2.12680435176232e-08,8.92493420123277
"MRPS33",0.309563265306114,9.22247653061224,6.03049644290901,7.9710218411187e-09,2.12911307390841e-08,8.92374290935158
"HSPA14",0.362340816326531,7.66042857142857,6.03003100257159,7.99041272417144e-09,2.13400797364787e-08,8.92136704050833
"ZNF93",0.532705102040818,5.13049744897959,6.02960024887391,8.00839968565410e-09,2.13852667159036e-08,8.91916834400627
"MYST2",0.242311224489799,6.58503724489796,6.02859360377774,8.05058892561085e-09,2.14950617015543e-08,8.91403054529926
"UBL5",0.185542857142856,10.7126765306122,6.02783087160621,8.08270051437425e-09,2.15779236946241e-08,8.9101380421289
"AARS2",0.323340816326533,4.91523775510204,6.02682283500648,8.12533216863251e-09,2.1688844681441e-08,8.90499417938508
"FAM155B",0.389186734693877,3.16485969387755,6.02630849823676,8.14716917651888e-09,2.17442366257931e-08,8.90236982218964
"SNORA21",0.521582653061225,2.70043010204082,6.02616289989499,8.15336122627648e-09,2.17578640530168e-08,8.90162694767942
"LTBP2",0.879835714285713,5.55766683673469,6.02426442907588,8.23452317049859e-09,2.19715240642779e-08,8.89194166462673
"PCYOX1L",0.49014387755102,5.60141071428571,6.02260528416979,8.30610134982199e-09,2.21595589746949e-08,8.88347905038037
"NRBF2",-0.294380612244896,7.14442908163265,-6.02196075496348,8.33407144979428e-09,2.22312188220678e-08,8.88019200488473
"C11orf51",-0.295758163265305,6.88114132653061,-6.02121705102248,8.36646002105462e-09,2.23146443352133e-08,8.87639947712092
"PSMB9",0.612422448979586,9.1541387755102,6.01913619453037,8.45773863111975e-09,2.25550955800349e-08,8.86578983474441
"ING2",-0.358575510204082,6.7256693877551,-6.01876338181881,8.4741951223429e-09,2.25959737635958e-08,8.8638892447577
"ZDHHC3",-0.294524489795918,8.13449897959184,-6.0184087769169,8.4898769987889e-09,2.26347758739337e-08,8.86208155289291
"SCRG1",-1.08130612244898,2.91853979591837,-6.01679178868963,8.56174702381469e-09,2.2823350382978e-08,8.85383945864631
"DDAH2",-0.523439795918371,7.61131275510204,-6.015119339411,8.63670906686355e-09,2.30201161171471e-08,8.84531627248864
"IGLV8-61",-0.732044897959188,4.11278163265306,-6.01424675254344,8.67607474540004e-09,2.31219642642808e-08,8.84087001659514
"APBB1",-0.398722448979591,3.85146734693878,-6.01378838040196,8.69682399670607e-09,2.31741786546971e-08,8.83853456475762
"SLITRK4",-0.590940816326532,3.44486326530612,-6.01195149308091,8.78046366054267e-09,2.33939391556924e-08,8.82917667007504
"JMJD6",0.419327551020406,5.49571887755102,6.01049672627213,8.84726274090749e-09,2.35687785224202e-08,8.82176685869942
"USP43",-0.582553061224492,5.44513163265306,-6.0097222617541,8.88302690194053e-09,2.36609065186245e-08,8.81782265053166
"SMAD4",-0.433306122448972,7.58181428571429,-6.00869540526688,8.93066475848671e-09,2.3784632691673e-08,8.81259359540033
"C1orf216",0.534432653061229,4.35110714285714,6.00864887626307,8.93282924491865e-09,2.37872349147222e-08,8.81235667061089
"WDR52",-0.362707142857142,3.36123724489796,-6.0082971024186,8.94921007670986e-09,2.38276881268911e-08,8.81056548588349
"ITGA6",0.376152040816333,10.6839760204082,6.00772760211882,8.97579203641504e-09,2.38952879555485e-08,8.80766582072422
"FRAT1",-0.30054489795918,5.08882448979592,-6.00639673434354,9.03821344631022e-09,2.40582686646203e-08,8.80089031877231
"CARD16 /// CASP1",-0.599185714285715,7.79095918367347,-6.00387717439494,9.15755446013739e-09,2.43726967583277e-08,8.78806596982459
"HMGA2",0.983188775510202,5.98084030612245,6.00335466245092,9.18249620375043e-09,2.44358324189336e-08,8.78540689214982
"CSNK1D",-0.259871428571431,7.99275408163265,-6.00145644282975,9.27366758387017e-09,2.46751736894237e-08,8.77574814290348
"BEND7",0.432984693877549,5.53810255102041,6.00088220570381,9.30142241979475e-09,2.47457364323703e-08,8.77282665546953
"FKBP4",0.450653061224486,8.00301224489796,6.00022755107671,9.33316336342429e-09,2.48268837683546e-08,8.76949627130982
"CBR4",-0.474698979591835,6.28105867346939,-6.00017142899581,9.33588937573509e-09,2.48308380063862e-08,8.76921077656575
"IBSP",0.55668469387755,2.70900357142857,5.99959341815772,9.36401045467595e-09,2.49023259575897e-08,8.76627052489058
"TRIM21",-0.385362244897959,6.20592091836735,-5.99932922546049,9.37689142906414e-09,2.49332713032177e-08,8.76492668258174
"GBP2",-0.631971428571426,7.45622653061224,-5.99698062719111,9.49216515348965e-09,2.52364359017728e-08,8.75298209940842
"PANK4",-0.299468367346937,5.66836581632653,-5.99662703589733,9.50963987738771e-09,2.5279540295078e-08,8.75118407189855
"TACC1",-0.525034693877556,9.14596734693878,-5.99526903241953,9.57704670106354e-09,2.54553504792896e-08,8.74427924358532
"CAND1",0.245125510204089,7.33545153061224,5.99510552550359,9.58519414293266e-09,2.54736261959896e-08,8.74344795827858
"CBARA1",-0.260021428571435,7.35653418367347,-5.99475158279134,9.60285413479720e-09,2.5517174278073e-08,8.74164853216924
"CAMK4",-0.178538775510204,2.14064591836735,-5.99361662265185,9.65969823599189e-09,2.56648189339026e-08,8.735878949107
"SLC9A7",0.251413265306121,2.29483418367347,5.99312656301879,9.68434445856796e-09,2.57268893433884e-08,8.73338795833903
"ATF4",0.330645918367345,10.9698760204082,5.99088164814717,9.7980358973146e-09,2.60254644830156e-08,8.72197877255166
"PIP4K2C",-0.291888775510201,7.57283418367347,-5.99053683549313,9.81561400110299e-09,2.6068698831247e-08,8.72022661493935
"ANP32E",0.376047959183678,9.23411887755102,5.99034333429766,9.82549196762062e-09,2.60914740969438e-08,8.71924337354576
"UROS",0.371248979591835,6.34115,5.98672747332557,1.00118775490265e-08,2.65828950218221e-08,8.7008740634212
"SH3TC1",0.194411224489795,3.29348418367347,5.98650085600013,1.00236735314925e-08,2.66106880276159e-08,8.69972305638076
"SYT13",-1.00711734693878,7.25735357142857,-5.98511274483461,1.00962256831942e-08,2.67997468015674e-08,8.69267338860238
"ENTPD6",0.44542448979592,6.63680204081633,5.98167121918804,1.02783286723465e-08,2.72795122274931e-08,8.67520011334945
"C1QTNF9 /// C1QTNF9B",-0.169536734693876,2.62563775510204,-5.98079644255506,1.03251264560608e-08,2.74000872028435e-08,8.67075981458942
"FST",-0.451264285714286,4.60941581632653,-5.98066011353973,1.03324383958598e-08,2.74158593886436e-08,8.6700678594512
"CHSY3",0.330778571428571,2.6214637755102,5.97896968164003,1.04235262281796e-08,2.76538870254432e-08,8.66148876480125
"MAP3K12",-0.23896836734694,3.30856173469388,-5.97861302224918,1.0442844808808e-08,2.77014711407375e-08,8.6596789003979
"EPN1",-0.314130612244892,9.8917693877551,-5.97747283044095,1.05048392069809e-08,2.78622327331454e-08,8.65389350970313
"PRRT2",-0.320323469387754,2.9073637755102,-5.9771103698123,1.05246222703389e-08,2.79110084646147e-08,8.65205452607087
"CLN6",0.436404081632652,5.68979795918367,5.97581895342836,1.05954046507182e-08,2.80950021664909e-08,8.64550301084454
"YBX2",-0.598314285714282,5.72161530612245,-5.97562925792275,1.06058410286342e-08,2.8118953590078e-08,8.64454074454414
