"","value","group","gsm"
"GSM107174",6.29267129944792,"low","GSM107174"
"GSM107175",7.91763381185422,"high","GSM107175"
"GSM107176",7.64079320724423,"high","GSM107176"
"GSM107177",6.97086655818435,"high","GSM107177"
"GSM107178",7.58354843797122,"high","GSM107178"
"GSM107179",8.01011850655441,"high","GSM107179"
"GSM107180",7.84210949815013,"high","GSM107180"
"GSM107181",7.63081223218856,"high","GSM107181"
"GSM107182",7.40349927236616,"high","GSM107182"
"GSM107183",7.10076180270826,"high","GSM107183"
"GSM107184",7.19216855448043,"high","GSM107184"
"GSM107185",7.78175417431019,"high","GSM107185"
"GSM107186",7.52122863284493,"high","GSM107186"
"GSM107187",7.44388623819198,"high","GSM107187"
"GSM107188",7.70698388371011,"high","GSM107188"
"GSM107189",8.25197680102582,"high","GSM107189"
"GSM107190",8.01618096941547,"high","GSM107190"
"GSM107191",6.61413979256474,"low","GSM107191"
"GSM107192",4.77941212087833,"low","GSM107192"
"GSM107193",6.92090571990678,"low","GSM107193"
"GSM107194",6.66080466674619,"low","GSM107194"
"GSM107195",5.50677057926773,"low","GSM107195"
"GSM107196",5.44911373791326,"low","GSM107196"
"GSM107197",7.71427196903352,"high","GSM107197"
"GSM107198",6.31771932421557,"low","GSM107198"
"GSM107199",6.72439676445444,"low","GSM107199"
"GSM107200",5.94077289963855,"low","GSM107200"
"GSM107201",4.82961834441226,"low","GSM107201"
"GSM107202",6.74397454005098,"low","GSM107202"
"GSM107203",5.58350686958497,"low","GSM107203"
"GSM107204",5.95892807916025,"low","GSM107204"
"GSM107205",7.30238346086501,"high","GSM107205"
"GSM107206",5.47864779070784,"low","GSM107206"
"GSM107207",6.48442284917612,"low","GSM107207"
"GSM107208",7.42466425497838,"high","GSM107208"
"GSM107209",7.22370434131002,"high","GSM107209"
"GSM107210",4.46650892239975,"low","GSM107210"
"GSM107211",4.95798838751228,"low","GSM107211"
"GSM107212",7.71336576636488,"high","GSM107212"
"GSM107213",7.03025780331463,"high","GSM107213"
"GSM107214",6.98029790643464,"high","GSM107214"
"GSM107215",6.93091442009635,"high","GSM107215"
"GSM107216",7.11264597909306,"high","GSM107216"
"GSM107217",5.17910309215672,"low","GSM107217"
"GSM107218",7.70692897413196,"high","GSM107218"
"GSM107219",6.49806410770441,"low","GSM107219"
"GSM107220",6.515193219285,"low","GSM107220"
"GSM107221",7.73048794022651,"high","GSM107221"
"GSM107222",7.14104892430313,"high","GSM107222"
"GSM107223",5.89112699553882,"low","GSM107223"
"GSM107224",4.79064321203346,"low","GSM107224"
"GSM107225",7.24525613892418,"high","GSM107225"
"GSM107226",6.31452544067873,"low","GSM107226"
"GSM107227",5.77833621195872,"low","GSM107227"
"GSM107228",6.67206752997129,"low","GSM107228"
"GSM107229",6.89656530145006,"low","GSM107229"
"GSM107230",6.92723360623254,"high","GSM107230"
"GSM107231",6.2894270939393,"low","GSM107231"
"GSM411235",8.628870196,"low","GSM411235"
"GSM411236",7.968434681,"low","GSM411236"
"GSM411237",8.498938723,"low","GSM411237"
"GSM411238",8.362942887,"low","GSM411238"
"GSM411239",8.780772847,"high","GSM411239"
"GSM411240",8.378480982,"low","GSM411240"
"GSM411241",7.703003372,"low","GSM411241"
"GSM411242",8.860005037,"high","GSM411242"
"GSM411243",8.821137889,"high","GSM411243"
"GSM411244",8.781143983,"high","GSM411244"
"GSM411245",8.280951577,"low","GSM411245"
"GSM411246",8.716590668,"high","GSM411246"
"GSM411247",8.818741221,"high","GSM411247"
"GSM411248",9.222325351,"high","GSM411248"
"GSM411249",8.192313603,"low","GSM411249"
"GSM411250",8.602372875,"low","GSM411250"
"GSM411251",9.044886152,"high","GSM411251"
"GSM411252",8.535209626,"low","GSM411252"
"GSM411253",8.442331991,"low","GSM411253"
"GSM411254",8.215039433,"low","GSM411254"
"GSM411255",8.586046322,"low","GSM411255"
"GSM411256",8.435981458,"low","GSM411256"
"GSM411257",9.269471425,"high","GSM411257"
"GSM411258",8.905122423,"high","GSM411258"
"GSM411259",9.173408666,"high","GSM411259"
"GSM411260",9.205111567,"high","GSM411260"
"GSM411261",8.636930928,"low","GSM411261"
"GSM411262",8.876977636,"high","GSM411262"
"GSM411263",8.178799297,"low","GSM411263"
"GSM411264",8.896005169,"high","GSM411264"
"GSM411265",8.774857333,"high","GSM411265"
"GSM411266",8.746610626,"high","GSM411266"
"GSM411267",8.454923635,"low","GSM411267"
"GSM411268",8.506982351,"low","GSM411268"
"GSM411269",8.655959689,"low","GSM411269"
"GSM411270",8.851249256,"high","GSM411270"
"GSM411271",9.002790102,"high","GSM411271"
"GSM411272",8.802446526,"high","GSM411272"
"GSM411273",8.562040389,"low","GSM411273"
"GSM411274",8.676892734,"low","GSM411274"
"GSM411275",8.870732763,"high","GSM411275"
"GSM411276",8.020536462,"low","GSM411276"
"GSM411277",8.815284035,"high","GSM411277"
"GSM411278",9.136595336,"high","GSM411278"
"GSM411279",8.693702286,"low","GSM411279"
"GSM411280",8.196446779,"low","GSM411280"
"GSM411281",8.774120255,"high","GSM411281"
"GSM411282",9.131884949,"high","GSM411282"
"GSM411283",9.221479397,"high","GSM411283"
"GSM411284",9.04777291,"high","GSM411284"
"GSM411285",8.213774128,"low","GSM411285"
"GSM411286",8.948679682,"high","GSM411286"
"GSM411287",8.619689568,"low","GSM411287"
"GSM411288",8.619445642,"low","GSM411288"
"GSM411289",8.555103841,"low","GSM411289"
"GSM411290",7.418577179,"low","GSM411290"
"GSM411291",7.892666001,"low","GSM411291"
"GSM411292",8.868807891,"high","GSM411292"
"GSM411293",8.31742223,"high","GSM411293"
"GSM411294",8.227760109,"high","GSM411294"
"GSM411295",7.503044111,"low","GSM411295"
"GSM411296",7.801317376,"low","GSM411296"
"GSM411297",7.464473453,"low","GSM411297"
"GSM411298",8.173967586,"high","GSM411298"
"GSM411299",8.357775746,"high","GSM411299"
"GSM411300",7.612202685,"low","GSM411300"
"GSM411301",8.801923055,"high","GSM411301"
"GSM411302",8.314232933,"high","GSM411302"
"GSM411303",8.87303901,"high","GSM411303"
"GSM411304",7.584684469,"low","GSM411304"
"GSM411305",9.181411542,"high","GSM411305"
"GSM411306",7.721646501,"low","GSM411306"
"GSM411307",7.551823861,"low","GSM411307"
"GSM411308",7.508424315,"low","GSM411308"
"GSM411309",7.96196257,"low","GSM411309"
"GSM411310",8.482742712,"high","GSM411310"
"GSM411311",8.079210647,"high","GSM411311"
"GSM411312",6.70504299,"low","GSM411312"
"GSM411313",7.052318602,"low","GSM411313"
"GSM411314",8.184599379,"high","GSM411314"
"GSM411315",8.077407685,"high","GSM411315"
"GSM411316",8.429397697,"high","GSM411316"
"GSM411317",8.50466846,"high","GSM411317"
"GSM411318",8.027663624,"low","GSM411318"
"GSM411319",8.345175044,"high","GSM411319"
"GSM411320",7.902130916,"low","GSM411320"
"GSM411321",7.947620636,"low","GSM411321"
"GSM411322",8.090605521,"high","GSM411322"
"GSM411323",9.208477903,"high","GSM411323"
"GSM411324",7.442693754,"low","GSM411324"
"GSM411325",8.408094589,"high","GSM411325"
"GSM411326",8.551725002,"high","GSM411326"
"GSM411327",8.230380422,"high","GSM411327"
"GSM411328",7.503358036,"low","GSM411328"
"GSM411329",7.343839656,"low","GSM411329"
"GSM411330",7.907109156,"low","GSM411330"
"GSM411331",8.615593958,"high","GSM411331"
"GSM411332",8.822845772,"high","GSM411332"
"GSM411333",7.998179062,"low","GSM411333"
"GSM411334",7.844650453,"low","GSM411334"
"GSM411335",8.163050766,"high","GSM411335"
"GSM411336",8.649798158,"high","GSM411336"
"GSM411337",8.909126645,"high","GSM411337"
"GSM411338",8.36967013,"high","GSM411338"
"GSM411339",8.385746402,"high","GSM411339"
"GSM411340",8.282489381,"high","GSM411340"
"GSM411341",7.25823091,"low","GSM411341"
"GSM411342",9.084946008,"high","GSM411342"
"GSM411343",8.142821182,"high","GSM411343"
"GSM411344",8.410218717,"high","GSM411344"
"GSM411345",8.987100647,"high","GSM411345"
"GSM411346",8.037700927,"low","GSM411346"
"GSM411347",8.102211469,"high","GSM411347"
"GSM411348",8.089266498,"high","GSM411348"
"GSM411349",7.95403985,"low","GSM411349"
"GSM411350",8.28252962,"high","GSM411350"
"GSM411351",8.553260366,"high","GSM411351"
"GSM411352",7.429336086,"low","GSM411352"
"GSM411353",9.057073554,"high","GSM411353"
"GSM411354",7.942444813,"low","GSM411354"
"GSM411355",8.147934369,"high","GSM411355"
"GSM411356",8.101222177,"high","GSM411356"
"GSM411357",8.405425954,"high","GSM411357"
"GSM411358",7.591262538,"low","GSM411358"
"GSM411359",7.89883322,"low","GSM411359"
"GSM411360",7.76307748,"low","GSM411360"
"GSM411361",8.351281885,"high","GSM411361"
"GSM411362",7.761739373,"low","GSM411362"
"GSM411363",9.24463679,"high","GSM411363"
"GSM411364",8.271408536,"high","GSM411364"
"GSM411365",7.997567626,"low","GSM411365"
"GSM411366",7.846105297,"low","GSM411366"
"GSM411367",7.878074568,"low","GSM411367"
"GSM411368",8.079846655,"high","GSM411368"
"GSM411369",8.358362115,"high","GSM411369"
"GSM411370",7.520708919,"low","GSM411370"
"GSM411371",8.495993644,"high","GSM411371"
"GSM411372",7.658772989,"low","GSM411372"
"GSM411373",8.018400993,"low","GSM411373"
"GSM411374",8.273252245,"high","GSM411374"
"GSM411375",7.079390156,"low","GSM411375"
"GSM411376",8.254987304,"high","GSM411376"
"GSM411377",6.846108641,"low","GSM411377"
"GSM411378",7.896516308,"low","GSM411378"
"GSM411379",7.56442289,"low","GSM411379"
"GSM411380",8.15872634,"high","GSM411380"
"GSM411381",7.848752551,"low","GSM411381"
"GSM411382",7.256606888,"low","GSM411382"
"GSM411383",8.300844108,"high","GSM411383"
"GSM411384",7.320100868,"low","GSM411384"
"GSM411385",8.32946031,"high","GSM411385"
"GSM411386",8.158639759,"high","GSM411386"
"GSM411387",7.423449257,"low","GSM411387"
"GSM411388",8.511077482,"high","GSM411388"
"GSM411389",7.709815514,"low","GSM411389"
"GSM411390",8.283490911,"high","GSM411390"
"GSM411391",8.695465645,"high","GSM411391"
"GSM411392",7.372561213,"low","GSM411392"
"GSM411393",8.006128408,"low","GSM411393"
"GSM411394",7.864267942,"low","GSM411394"
"GSM411395",8.239544891,"high","GSM411395"
"GSM411396",7.734146458,"low","GSM411396"
"GSM411397",8.652538108,"high","GSM411397"
"GSM411398",8.298923366,"high","GSM411398"
"GSM411399",7.638493874,"low","GSM411399"
"GSM411400",7.806564684,"low","GSM411400"
"GSM411401",7.851320786,"low","GSM411401"
"GSM411402",7.768553118,"low","GSM411402"
"GSM411403",7.463881571,"low","GSM411403"
"GSM411404",8.044064953,"high","GSM411404"
"GSM411405",7.948281613,"low","GSM411405"
"GSM411406",7.901510429,"low","GSM411406"
"GSM411407",7.631228997,"low","GSM411407"
"GSM411408",7.956954862,"low","GSM411408"
"GSM411409",7.647880121,"low","GSM411409"
"GSM441624",9.53234313723674,"high","GSM441624"
"GSM441625",9.44894548863166,"high","GSM441625"
"GSM441626",9.76153138108437,"high","GSM441626"
"GSM441627",9.79241934903392,"high","GSM441627"
"GSM441628",8.75158676590652,"low","GSM441628"
"GSM441629",7.33227973001072,"low","GSM441629"
"GSM441630",8.94765371425082,"low","GSM441630"
"GSM441631",9.0501447820292,"low","GSM441631"
"GSM441632",8.29890401176184,"low","GSM441632"
"GSM441633",8.88339579387473,"low","GSM441633"
"GSM441634",7.12348748189415,"low","GSM441634"
"GSM441635",9.49400514228332,"high","GSM441635"
"GSM441636",9.5523649235115,"high","GSM441636"
"GSM441637",10.735100623362,"high","GSM441637"
"GSM441638",9.75644999247842,"high","GSM441638"
"GSM441639",9.44906271022382,"high","GSM441639"
"GSM441640",9.2541946454101,"low","GSM441640"
"GSM441641",9.85051451697285,"high","GSM441641"
"GSM441642",8.0949597534494,"low","GSM441642"
"GSM441643",9.8382162966983,"high","GSM441643"
"GSM441644",8.60342346362148,"low","GSM441644"
"GSM441645",8.7354128429284,"low","GSM441645"
"GSM441646",9.4451163717458,"high","GSM441646"
"GSM441647",9.07461201175847,"low","GSM441647"
"GSM441648",9.57079601921743,"high","GSM441648"
"GSM441649",9.10510947563878,"low","GSM441649"
"GSM441650",9.12044638892947,"low","GSM441650"
"GSM441651",8.71519178485424,"low","GSM441651"
"GSM441652",9.88327834890391,"high","GSM441652"
"GSM441653",9.72415272423135,"high","GSM441653"
"GSM441654",9.58860384973754,"high","GSM441654"
"GSM441655",9.22141051033277,"low","GSM441655"
"GSM441656",9.5977887981163,"high","GSM441656"
"GSM441657",8.69170585206954,"low","GSM441657"
"GSM441658",9.38767326377033,"high","GSM441658"
"GSM441659",5.89143450046033,"low","GSM441659"
"GSM441660",9.70479580809084,"high","GSM441660"
"GSM441661",9.92094227746673,"high","GSM441661"
"GSM441662",9.25779690735697,"low","GSM441662"
"GSM441663",10.4349166972541,"high","GSM441663"
"GSM441664",8.77950025411518,"low","GSM441664"
"GSM441665",9.04732140427378,"low","GSM441665"
"GSM441666",6.95975233799885,"low","GSM441666"
"GSM441667",9.44802587867484,"high","GSM441667"
"GSM441668",9.97245931202696,"high","GSM441668"
"GSM441669",9.84214171260947,"high","GSM441669"
"GSM441670",9.85846586416663,"high","GSM441670"
"GSM441671",9.61241256520005,"high","GSM441671"
"GSM441672",7.0774036369238,"low","GSM441672"
"GSM441673",7.24743570594915,"low","GSM441673"
"GSM441674",9.16228955918623,"low","GSM441674"
"GSM441675",8.57483816605076,"low","GSM441675"
"GSM441676",9.5769717990768,"high","GSM441676"
"GSM441677",10.2032705740539,"high","GSM441677"
"GSM441678",9.41962525821447,"high","GSM441678"
"GSM441679",9.63184947361982,"high","GSM441679"
"GSM441680",9.32523449126684,"low","GSM441680"
"GSM441681",9.09425609587725,"low","GSM441681"
"GSM441682",8.18932827168344,"low","GSM441682"
"GSM441683",6.75737052795985,"low","GSM441683"
"GSM441684",9.102438957696,"low","GSM441684"
"GSM441685",9.23457930628903,"low","GSM441685"
"GSM441686",9.43409270499673,"high","GSM441686"
"GSM441687",9.20852294894026,"low","GSM441687"
"GSM441688",10.2885985685387,"high","GSM441688"
"GSM441689",9.34379090736255,"low","GSM441689"
"GSM441690",6.19325084825862,"low","GSM441690"
"GSM441691",8.24355967698884,"low","GSM441691"
"GSM441692",8.95331272430772,"low","GSM441692"
"GSM441693",9.03981806796871,"low","GSM441693"
"GSM441694",9.6103433893596,"high","GSM441694"
"GSM441695",9.06483899602685,"low","GSM441695"
"GSM441696",9.0489685946724,"low","GSM441696"
"GSM441697",9.497203262181,"high","GSM441697"
"GSM441698",9.27644753499845,"low","GSM441698"
"GSM441699",9.69065458178349,"high","GSM441699"
"GSM441700",8.78108963178928,"low","GSM441700"
"GSM441701",9.66853103029092,"high","GSM441701"
"GSM441702",9.17274404509602,"low","GSM441702"
"GSM441703",5.91249713250287,"low","GSM441703"
"GSM441704",7.16621225527524,"low","GSM441704"
"GSM441705",10.0874938801966,"high","GSM441705"
"GSM441706",9.85328375284184,"high","GSM441706"
"GSM441707",9.49354056542205,"high","GSM441707"
"GSM441708",8.61450080966142,"low","GSM441708"
"GSM441709",9.32112398392821,"low","GSM441709"
"GSM441710",9.71696164099168,"high","GSM441710"
"GSM441711",8.19196594061965,"low","GSM441711"
"GSM441712",9.61800817701955,"high","GSM441712"
"GSM441713",7.13574779685953,"low","GSM441713"
"GSM441714",9.24951931041343,"low","GSM441714"
"GSM441715",7.07025137535418,"low","GSM441715"
"GSM441716",8.02395209684409,"low","GSM441716"
"GSM441717",8.76420288698654,"low","GSM441717"
"GSM441718",8.9429915040968,"low","GSM441718"
"GSM441719",9.90195418440339,"high","GSM441719"
"GSM441720",9.2992810284961,"low","GSM441720"
"GSM441721",8.66784347489738,"low","GSM441721"
"GSM441722",9.88420608720333,"high","GSM441722"
"GSM441723",9.73789962241058,"high","GSM441723"
"GSM441724",9.56983158134678,"high","GSM441724"
"GSM441725",9.9335234018727,"high","GSM441725"
"GSM441726",8.07361197070917,"low","GSM441726"
"GSM441727",10.2918090383153,"high","GSM441727"
"GSM441728",9.93982635235725,"high","GSM441728"
"GSM441729",8.6353211348603,"low","GSM441729"
"GSM441730",9.67841528813403,"high","GSM441730"
"GSM441731",9.42253061871422,"high","GSM441731"
"GSM441732",9.09525844566099,"low","GSM441732"
"GSM441733",9.38556633303844,"high","GSM441733"
"GSM441734",8.54050590584824,"low","GSM441734"
"GSM441735",8.36810017753895,"low","GSM441735"
"GSM441736",6.87204312266033,"low","GSM441736"
"GSM441737",9.07374085329704,"low","GSM441737"
"GSM441738",10.127948981267,"high","GSM441738"
"GSM441739",8.40478454454025,"low","GSM441739"
"GSM441740",10.1728069025233,"high","GSM441740"
"GSM441741",9.6899996918999,"high","GSM441741"
"GSM441742",6.67932958773166,"low","GSM441742"
"GSM441743",9.7031925604855,"high","GSM441743"
"GSM441744",6.79613353489379,"low","GSM441744"
"GSM441745",9.61309716908612,"high","GSM441745"
"GSM441746",9.24383035737048,"low","GSM441746"
"GSM441747",8.48834359959733,"low","GSM441747"
"GSM441748",8.78060375842134,"low","GSM441748"
"GSM441749",8.82572519513357,"low","GSM441749"
"GSM441750",9.34545004602501,"high","GSM441750"
"GSM441751",9.38002215720002,"high","GSM441751"
"GSM441752",9.84491435604756,"high","GSM441752"
"GSM441753",10.1174085402145,"high","GSM441753"
"GSM441754",10.3980520468985,"high","GSM441754"
"GSM441755",9.37833326170959,"high","GSM441755"
"GSM441756",9.84220153494508,"high","GSM441756"
"GSM441757",6.73964570464119,"low","GSM441757"
"GSM441758",9.34045377487033,"low","GSM441758"
"GSM441759",9.3699034715584,"high","GSM441759"
"GSM441760",10.2649701342546,"high","GSM441760"
"GSM441761",8.20287306473581,"low","GSM441761"
"GSM441762",11.361380755182,"high","GSM441762"
"GSM441763",9.83188465628343,"high","GSM441763"
"GSM441764",9.91542094041972,"high","GSM441764"
"GSM441765",10.0120737123452,"high","GSM441765"
"GSM441766",9.60064804069875,"high","GSM441766"
"GSM441767",7.31301695725515,"low","GSM441767"
"GSM441768",10.3063434333165,"high","GSM441768"
"GSM441769",10.1522681548266,"high","GSM441769"
"GSM441770",10.9631069199107,"high","GSM441770"
"GSM441771",10.35274603296,"high","GSM441771"
"GSM441772",10.0329430372446,"high","GSM441772"
"GSM441773",9.44384907864157,"high","GSM441773"
"GSM441774",9.12205758589524,"low","GSM441774"
"GSM441775",8.7140098312396,"low","GSM441775"
"GSM441776",9.86023938890212,"high","GSM441776"
"GSM441777",10.1579381192567,"high","GSM441777"
"GSM441778",9.77854518796996,"high","GSM441778"
"GSM441779",8.4818621289847,"low","GSM441779"
"GSM441780",9.5135039114831,"high","GSM441780"
"GSM441781",10.8061169359971,"high","GSM441781"
"GSM441782",9.18471704385789,"low","GSM441782"
"GSM441783",9.46609694468765,"high","GSM441783"
"GSM441784",10.8390609855139,"high","GSM441784"
"GSM441785",9.36886027736075,"high","GSM441785"
"GSM441786",10.3435099359209,"high","GSM441786"
"GSM441787",9.5196294058585,"high","GSM441787"
"GSM441788",9.78965855514137,"high","GSM441788"
"GSM441789",10.7440617382327,"high","GSM441789"
"GSM441790",9.36982723514834,"high","GSM441790"
"GSM441791",10.0162544857651,"high","GSM441791"
"GSM441792",10.3922421987742,"high","GSM441792"
"GSM441793",9.91845875966088,"high","GSM441793"
"GSM441794",10.3463942101526,"high","GSM441794"
"GSM441795",9.45655892147483,"high","GSM441795"
"GSM441796",9.31311190788996,"low","GSM441796"
"GSM441797",9.65306686005227,"high","GSM441797"
"GSM441798",9.51234837442228,"high","GSM441798"
"GSM441799",9.80722404331047,"high","GSM441799"
"GSM441800",8.33506271402491,"low","GSM441800"
"GSM441801",9.3339648065083,"low","GSM441801"
"GSM441802",10.2008981737318,"high","GSM441802"
"GSM441803",8.5796781400615,"low","GSM441803"
"GSM441804",9.20950171547403,"low","GSM441804"
"GSM441805",10.4293182631632,"high","GSM441805"
"GSM441806",10.036628974143,"high","GSM441806"
"GSM441807",10.2049390081066,"high","GSM441807"
"GSM441808",8.32245224113677,"low","GSM441808"
"GSM441809",10.8030457283785,"high","GSM441809"
"GSM441810",9.25099395175218,"low","GSM441810"
"GSM441811",7.86906353678943,"low","GSM441811"
"GSM441812",10.7286703576687,"high","GSM441812"
"GSM441813",7.77603168680785,"low","GSM441813"
"GSM441814",10.6599821415807,"high","GSM441814"
"GSM441815",9.24239236773159,"low","GSM441815"
"GSM441816",10.3290511642887,"high","GSM441816"
"GSM441817",9.71930783480327,"high","GSM441817"
"GSM441818",6.59036321913666,"low","GSM441818"
"GSM441819",10.4684265615223,"high","GSM441819"
"GSM441820",5.91165267123903,"low","GSM441820"
"GSM441821",7.34037656563591,"low","GSM441821"
"GSM441822",9.66097075728733,"high","GSM441822"
"GSM441823",8.96092437000916,"low","GSM441823"
"GSM441824",6.21344287746811,"low","GSM441824"
"GSM441825",10.5032041648828,"high","GSM441825"
"GSM441826",9.04311342375689,"low","GSM441826"
"GSM441827",6.45955669618416,"low","GSM441827"
"GSM441828",10.4799669293263,"high","GSM441828"
"GSM441829",9.09449209479424,"low","GSM441829"
"GSM441830",10.0027962443763,"high","GSM441830"
"GSM441831",8.9177544987673,"low","GSM441831"
"GSM441832",9.8767184589755,"high","GSM441832"
"GSM441833",10.3551252886882,"high","GSM441833"
"GSM441834",10.5622947476566,"high","GSM441834"
"GSM441835",9.5186631340659,"high","GSM441835"
"GSM441836",10.4474971498671,"high","GSM441836"
"GSM441837",9.6759091959602,"high","GSM441837"
"GSM441838",10.1110451753423,"high","GSM441838"
"GSM441839",9.06497855140493,"low","GSM441839"
"GSM441840",8.62319481591983,"low","GSM441840"
"GSM441841",9.93456767333605,"high","GSM441841"
"GSM441842",10.0998600152558,"high","GSM441842"
"GSM441843",11.1975903229237,"high","GSM441843"
"GSM441844",9.57639667608975,"high","GSM441844"
"GSM441845",6.75115247104501,"low","GSM441845"
"GSM441846",10.0910320519752,"high","GSM441846"
"GSM441847",9.55745551949596,"high","GSM441847"
"GSM441848",9.10500170956785,"low","GSM441848"
"GSM441849",9.50101162678651,"high","GSM441849"
"GSM441850",10.2377685888836,"high","GSM441850"
"GSM441851",6.90330729795601,"low","GSM441851"
"GSM441852",9.85468250162871,"high","GSM441852"
"GSM441853",8.59660128427532,"low","GSM441853"
"GSM441854",7.23621778172361,"low","GSM441854"
"GSM441855",6.66689153084921,"low","GSM441855"
"GSM441856",6.17999652206653,"low","GSM441856"
"GSM441857",9.8658128170161,"high","GSM441857"
"GSM441858",8.82176152286612,"low","GSM441858"
"GSM441859",10.3752581619444,"high","GSM441859"
"GSM441860",8.26538967232525,"low","GSM441860"
"GSM441861",9.20165938120858,"low","GSM441861"
"GSM441862",7.87414176425093,"low","GSM441862"
"GSM441863",10.1255144518909,"high","GSM441863"
"GSM441864",7.01633102620874,"low","GSM441864"
"GSM441865",9.40889695284256,"high","GSM441865"
"GSM441866",10.3953110805646,"high","GSM441866"
"GSM441867",6.87443094373374,"low","GSM441867"
"GSM441868",7.07806179788956,"low","GSM441868"
"GSM441869",6.15412820907773,"low","GSM441869"
"GSM441870",6.54204666371701,"low","GSM441870"
"GSM441871",9.19623091475533,"low","GSM441871"
"GSM441872",9.7460655138,"high","GSM441872"
"GSM441873",6.4940538602424,"low","GSM441873"
"GSM441874",8.84561107026955,"low","GSM441874"
"GSM441875",7.08557800387201,"low","GSM441875"
"GSM441876",6.84290478223739,"low","GSM441876"
"GSM441877",8.59926820899609,"low","GSM441877"
"GSM441878",9.18790848758365,"low","GSM441878"
"GSM441879",6.708764051803,"low","GSM441879"
"GSM441880",6.34476087741377,"low","GSM441880"
"GSM441881",9.7713140229071,"high","GSM441881"
"GSM441882",8.50838161000895,"low","GSM441882"
"GSM441883",7.35670665967012,"low","GSM441883"
"GSM441884",6.6827808087322,"low","GSM441884"
"GSM441885",6.42896081371628,"low","GSM441885"
"GSM441886",7.77514203177179,"low","GSM441886"
"GSM441887",9.6846934573628,"high","GSM441887"
"GSM441888",9.84881144105821,"high","GSM441888"
"GSM441889",10.6063687198805,"high","GSM441889"
"GSM441890",8.12065399133121,"low","GSM441890"
"GSM441891",10.2089173659563,"high","GSM441891"
"GSM441892",10.2975728222636,"high","GSM441892"
"GSM441893",9.00109476691352,"low","GSM441893"
"GSM441894",10.0553874762733,"high","GSM441894"
"GSM441895",9.32300022659857,"low","GSM441895"
"GSM441896",8.05929274560408,"low","GSM441896"
"GSM441897",10.2912412469675,"high","GSM441897"
"GSM441898",6.61047527298348,"low","GSM441898"
"GSM441899",7.91851053457394,"low","GSM441899"
"GSM441900",9.5747772931656,"high","GSM441900"
"GSM441901",5.9470871784878,"low","GSM441901"
"GSM441902",10.1853714732224,"high","GSM441902"
"GSM441903",9.57095598099852,"high","GSM441903"
"GSM441904",8.149117119,"low","GSM441904"
"GSM441905",5.929149726,"low","GSM441905"
"GSM441906",8.919877779,"low","GSM441906"
"GSM441907",9.084740697,"low","GSM441907"
"GSM441908",8.919527752,"low","GSM441908"
"GSM441909",6.814813392,"low","GSM441909"
"GSM441910",9.184589027,"low","GSM441910"
"GSM441911",9.739332446,"high","GSM441911"
"GSM441912",9.149144245,"low","GSM441912"
"GSM441913",6.638916353,"low","GSM441913"
"GSM441914",6.065152325,"low","GSM441914"
"GSM441915",9.909745711,"high","GSM441915"
"GSM441916",10.2346352,"high","GSM441916"
"GSM441917",9.064730628,"low","GSM441917"
"GSM441918",9.360369761,"high","GSM441918"
"GSM441919",6.985580587,"low","GSM441919"
"GSM441920",8.559607083,"low","GSM441920"
"GSM441921",10.44194474,"high","GSM441921"
"GSM447197",7.216,"low","GSM447197"
"GSM447198",7.73,"low","GSM447198"
"GSM447199",7.618,"low","GSM447199"
"GSM447200",7.335,"low","GSM447200"
"GSM447201",7.904,"low","GSM447201"
"GSM447202",7.589,"low","GSM447202"
"GSM447203",8.772,"high","GSM447203"
"GSM447204",8.888,"high","GSM447204"
"GSM447205",7.955,"low","GSM447205"
"GSM447206",8.42,"high","GSM447206"
"GSM447207",8.255,"high","GSM447207"
"GSM447208",7.891,"low","GSM447208"
"GSM447209",7.82,"low","GSM447209"
"GSM447210",7.471,"low","GSM447210"
"GSM447211",7.986,"low","GSM447211"
"GSM447212",8.358,"high","GSM447212"
"GSM447213",8.216,"high","GSM447213"
"GSM447214",7.726,"low","GSM447214"
"GSM447215",6.591,"low","GSM447215"
"GSM447216",8.193,"high","GSM447216"
"GSM447217",8.049,"high","GSM447217"
"GSM447218",7.233,"low","GSM447218"
"GSM447219",8.579,"high","GSM447219"
"GSM447220",8.116,"high","GSM447220"
"GSM447221",7.707,"low","GSM447221"
"GSM447222",8.018,"low","GSM447222"
"GSM447223",8.141,"high","GSM447223"
"GSM447224",7,"low","GSM447224"
"GSM447225",8.506,"high","GSM447225"
"GSM447226",8.124,"high","GSM447226"
"GSM447227",8.444,"high","GSM447227"
"GSM447228",8.597,"high","GSM447228"
"GSM447229",7.339,"low","GSM447229"
"GSM447230",7.626,"low","GSM447230"
"GSM447231",8.657,"high","GSM447231"
"GSM447232",7.801,"low","GSM447232"
"GSM447233",8.596,"high","GSM447233"
"GSM447234",7.831,"low","GSM447234"
"GSM447235",7.728,"low","GSM447235"
"GSM447236",8.192,"high","GSM447236"
"GSM447237",6.671,"low","GSM447237"
"GSM447238",8.044,"high","GSM447238"
"GSM447239",7.732,"low","GSM447239"
"GSM447240",8.233,"high","GSM447240"
"GSM447241",8.234,"high","GSM447241"
"GSM447242",8.436,"high","GSM447242"
"GSM447243",8.132,"high","GSM447243"
"GSM447244",9.188,"high","GSM447244"
"GSM447245",7.712,"low","GSM447245"
"GSM447246",6.797,"low","GSM447246"
"GSM447247",7.634,"low","GSM447247"
"GSM447248",8.34,"high","GSM447248"
