"","value","group","gsm"
"GSM282526",2058,"high","GSM282526"
"GSM282527",1030,"high","GSM282527"
"GSM282528",1647,"high","GSM282528"
"GSM282529",643.3,"high","GSM282529"
"GSM282530",405.3,"low","GSM282530"
"GSM282531",730.6,"high","GSM282531"
"GSM282532",954.6,"high","GSM282532"
"GSM282533",671.3,"high","GSM282533"
"GSM282534",719.6,"high","GSM282534"
"GSM282535",980.2,"high","GSM282535"
"GSM282536",669.5,"high","GSM282536"
"GSM282537",611.2,"low","GSM282537"
"GSM282538",576.6,"low","GSM282538"
"GSM282539",128.3,"low","GSM282539"
"GSM282540",832.1,"high","GSM282540"
"GSM282541",772.2,"high","GSM282541"
"GSM282542",753.6,"high","GSM282542"
"GSM282543",662.9,"high","GSM282543"
"GSM282544",978.4,"high","GSM282544"
"GSM282545",346.8,"low","GSM282545"
"GSM282546",699.8,"high","GSM282546"
"GSM282547",951.5,"high","GSM282547"
"GSM282548",341.4,"low","GSM282548"
"GSM282549",861.8,"high","GSM282549"
"GSM282550",974.8,"high","GSM282550"
"GSM282551",705.2,"high","GSM282551"
"GSM282552",786,"high","GSM282552"
"GSM282553",926.7,"high","GSM282553"
"GSM282554",250.1,"low","GSM282554"
"GSM282555",414.3,"low","GSM282555"
"GSM282556",470.6,"low","GSM282556"
"GSM282557",346.5,"low","GSM282557"
"GSM282558",1276,"high","GSM282558"
"GSM282559",391.1,"low","GSM282559"
"GSM282560",768.7,"high","GSM282560"
"GSM282561",36.3,"low","GSM282561"
"GSM282562",281.6,"low","GSM282562"
"GSM282563",617.9,"low","GSM282563"
"GSM282564",719.9,"high","GSM282564"
"GSM282565",1085,"high","GSM282565"
"GSM282566",696.1,"high","GSM282566"
"GSM282567",709.5,"high","GSM282567"
"GSM282568",526.9,"low","GSM282568"
"GSM282569",490.3,"low","GSM282569"
"GSM282570",578.7,"low","GSM282570"
"GSM282571",1121,"high","GSM282571"
"GSM282572",1627,"high","GSM282572"
"GSM305129",126.3,"low","GSM305129"
"GSM305130",152.1,"low","GSM305130"
"GSM305131",643.6,"high","GSM305131"
"GSM305132",569.3,"low","GSM305132"
"GSM305133",75.4,"low","GSM305133"
"GSM305134",1496.2,"high","GSM305134"
"GSM305135",51.8,"low","GSM305135"
"GSM305136",569,"low","GSM305136"
"GSM305137",209.3,"low","GSM305137"
"GSM305138",1824.3,"high","GSM305138"
"GSM305139",616.5,"high","GSM305139"
"GSM305140",819.1,"high","GSM305140"
"GSM305141",678.8,"high","GSM305141"
"GSM305142",1299.2,"high","GSM305142"
"GSM305143",544.6,"low","GSM305143"
"GSM305144",975,"high","GSM305144"
"GSM305145",646.3,"high","GSM305145"
"GSM305146",1473.9,"high","GSM305146"
"GSM305147",1276,"high","GSM305147"
"GSM305148",1260.7,"high","GSM305148"
"GSM305149",1350.1,"high","GSM305149"
"GSM305150",935.3,"high","GSM305150"
"GSM305151",274,"low","GSM305151"
"GSM305152",57.7,"low","GSM305152"
"GSM305153",88.8,"low","GSM305153"
"GSM305154",420.7,"low","GSM305154"
"GSM305155",414.5,"low","GSM305155"
"GSM305156",146.2,"low","GSM305156"
"GSM305157",896.8,"high","GSM305157"
"GSM305158",1527,"high","GSM305158"
"GSM305159",681.6,"high","GSM305159"
"GSM305160",176.7,"low","GSM305160"
"GSM305161",104.9,"low","GSM305161"
"GSM305162",646,"high","GSM305162"
"GSM305163",803.9,"high","GSM305163"
"GSM305164",65,"low","GSM305164"
"GSM305165",456.2,"low","GSM305165"
"GSM305166",414.1,"low","GSM305166"
"GSM305167",968.8,"high","GSM305167"
"GSM305168",404.6,"low","GSM305168"
"GSM305169",104,"low","GSM305169"
"GSM305170",132.4,"low","GSM305170"
"GSM305171",1246.8,"high","GSM305171"
"GSM305172",779,"high","GSM305172"
"GSM305173",620.9,"high","GSM305173"
"GSM305174",903.6,"high","GSM305174"
"GSM305175",938.8,"high","GSM305175"
"GSM305176",475.2,"low","GSM305176"
"GSM305177",790.9,"high","GSM305177"
"GSM305178",467.6,"low","GSM305178"
"GSM305179",844.4,"high","GSM305179"
"GSM305180",405.5,"low","GSM305180"
"GSM305181",640.5,"high","GSM305181"
"GSM305182",511.7,"low","GSM305182"
"GSM305183",776.3,"high","GSM305183"
"GSM305184",465.8,"low","GSM305184"
"GSM305185",495.2,"low","GSM305185"
"GSM305186",532.4,"low","GSM305186"
"GSM305187",1030.8,"high","GSM305187"
"GSM305188",334,"low","GSM305188"
"GSM305189",811,"high","GSM305189"
"GSM305190",211.8,"low","GSM305190"
"GSM305191",925.3,"high","GSM305191"
"GSM305192",264.6,"low","GSM305192"
"GSM305193",907,"high","GSM305193"
"GSM305194",488.5,"low","GSM305194"
"GSM305195",543,"low","GSM305195"
"GSM305196",905.1,"high","GSM305196"
"GSM305197",735.3,"high","GSM305197"
"GSM305198",665.9,"high","GSM305198"
"GSM305199",294.2,"low","GSM305199"
"GSM305200",601.6,"high","GSM305200"
"GSM305201",649.2,"high","GSM305201"
"GSM305202",720.4,"high","GSM305202"
"GSM305203",1889.1,"high","GSM305203"
"GSM305204",55.4,"low","GSM305204"
"GSM305205",165.7,"low","GSM305205"
"GSM305206",1162.9,"high","GSM305206"
"GSM305207",1444.5,"high","GSM305207"
"GSM305208",736.4,"high","GSM305208"
"GSM305209",1184.1,"high","GSM305209"
"GSM305210",488,"low","GSM305210"
"GSM305211",461.3,"low","GSM305211"
"GSM305212",386.3,"low","GSM305212"
"GSM305213",627.7,"high","GSM305213"
"GSM305214",649,"high","GSM305214"
"GSM305215",810.9,"high","GSM305215"
"GSM305216",284.3,"low","GSM305216"
"GSM305217",56.3,"low","GSM305217"
"GSM305218",578,"low","GSM305218"
"GSM305219",667.3,"high","GSM305219"
"GSM305220",368.3,"low","GSM305220"
"GSM305221",527.5,"low","GSM305221"
"GSM305222",590.8,"high","GSM305222"
"GSM305223",663.9,"high","GSM305223"
"GSM305224",36.5,"low","GSM305224"
"GSM305225",351.6,"low","GSM305225"
"GSM305226",785.8,"high","GSM305226"
"GSM305227",443.6,"low","GSM305227"
"GSM305228",1139.2,"high","GSM305228"
"GSM305229",665.2,"high","GSM305229"
"GSM305230",303.5,"low","GSM305230"
"GSM305231",613.9,"high","GSM305231"
"GSM305232",598.3,"high","GSM305232"
"GSM305233",1674.2,"high","GSM305233"
"GSM305234",678.2,"high","GSM305234"
"GSM305235",902.2,"high","GSM305235"
"GSM305236",378.4,"low","GSM305236"
"GSM305237",799.7,"high","GSM305237"
"GSM305238",644,"high","GSM305238"
"GSM305239",374.3,"low","GSM305239"
"GSM305240",605.2,"high","GSM305240"
"GSM305241",286.2,"low","GSM305241"
"GSM305242",346.1,"low","GSM305242"
"GSM305243",1337.7,"high","GSM305243"
