Genotype	Age	Tissue	Probe
SHR	Young	Muscle	Bmal1
SHR	Young	Muscle	Per2
SHR	Young	Muscle	Reverb
SHR	Young	Muscle	Dbp
SHR	Young	Muscle	Rora
SHR	Young	Muscle	Clock
WKY	Young	Muscle	Bmal1
WKY	Young	Muscle	Per2
WKY	Young	Muscle	Reverb
WKY	Young	Muscle	Dbp
WKY	Young	Muscle	Rora
WKY	Young	Muscle	Clock
